Species,decimalLongitude,decimalLatitude
Vitellaria paradoxa C.F.Gaertn.,3.093615,9.708387
Vitellaria paradoxa C.F.Gaertn.,3.092334,9.839198
Vitellaria paradoxa C.F.Gaertn.,3.096108,9.718343
Vitellaria paradoxa C.F.Gaertn.,3.09513,9.709026
Vitellaria paradoxa C.F.Gaertn.,3.098095,9.71054
Vitellaria paradoxa C.F.Gaertn.,3.09637,9.710189
Vitellaria paradoxa C.F.Gaertn.,3.102431,9.839901
Vitellaria paradoxa C.F.Gaertn.,3.100751,9.716356
Vitellaria paradoxa C.F.Gaertn.,3.105876,9.709885
Vitellaria paradoxa C.F.Gaertn.,3.013342,9.742044
Vitellaria paradoxa C.F.Gaertn.,3.013169,9.742016
Vitellaria paradoxa C.F.Gaertn.,3.010756,9.741129
Vitellaria paradoxa C.F.Gaertn.,3.089691,9.953049
Vitellaria paradoxa C.F.Gaertn.,3.085644,9.717241
Vitellaria paradoxa C.F.Gaertn.,3.09494,9.954654
Vitellaria paradoxa C.F.Gaertn.,3.681495,10.502044
Vitellaria paradoxa C.F.Gaertn.,3.679515,10.503586
Vitellaria paradoxa C.F.Gaertn.,3.677779,10.503698
Vitellaria paradoxa C.F.Gaertn.,3.679282,10.501506
Vitellaria paradoxa C.F.Gaertn.,3.678819,10.498695
Vitellaria paradoxa C.F.Gaertn.,3.675593,10.502871
Vitellaria paradoxa C.F.Gaertn.,3.675472,10.497526
Vitellaria paradoxa C.F.Gaertn.,3.657717,10.510659
Vitellaria paradoxa C.F.Gaertn.,3.67991,10.504363
Vitellaria paradoxa C.F.Gaertn.,3.668056,10.507662
Vitellaria paradoxa C.F.Gaertn.,3.715454,10.522643
Vitellaria paradoxa C.F.Gaertn.,3.673171,10.494058
Vitellaria paradoxa C.F.Gaertn.,3.738976,10.556484
Vitellaria paradoxa C.F.Gaertn.,3.716895,10.521157
Vitellaria paradoxa C.F.Gaertn.,3.717143,10.517665
Vitellaria paradoxa C.F.Gaertn.,3.725397,10.530199
Vitellaria paradoxa C.F.Gaertn.,3.717101,10.523508
Vitellaria paradoxa C.F.Gaertn.,3.71894,10.516431
Vitellaria paradoxa C.F.Gaertn.,3.706316,10.51466
Vitellaria paradoxa C.F.Gaertn.,3.705307,10.513043
Vitellaria paradoxa C.F.Gaertn.,3.727866,10.526929
Vitellaria paradoxa C.F.Gaertn.,3.685373,10.478775
Vitellaria paradoxa C.F.Gaertn.,3.684263,10.480659
Vitellaria paradoxa C.F.Gaertn.,3.682013,10.487998
Vitellaria paradoxa C.F.Gaertn.,3.683866,10.48331
Vitellaria paradoxa C.F.Gaertn.,3.683102,10.484776
Vitellaria paradoxa C.F.Gaertn.,3.681913,10.484164
Vitellaria paradoxa C.F.Gaertn.,3.271568,10.194014
Vitellaria paradoxa C.F.Gaertn.,3.270574,10.19548
Vitellaria paradoxa C.F.Gaertn.,3.272353,10.193868
Vitellaria paradoxa C.F.Gaertn.,3.270091,10.196421
Vitellaria paradoxa C.F.Gaertn.,3.273011,10.194248
Vitellaria paradoxa C.F.Gaertn.,3.271689,10.196067
Vitellaria paradoxa C.F.Gaertn.,3.269937,10.196991
Vitellaria paradoxa C.F.Gaertn.,3.271351,10.196528
Vitellaria paradoxa C.F.Gaertn.,3.269096,10.196024
Vitellaria paradoxa C.F.Gaertn.,3.271927,10.196944
Vitellaria paradoxa C.F.Gaertn.,3.271096,10.197053
Vitellaria paradoxa C.F.Gaertn.,3.271351,10.196167
Vitellaria paradoxa C.F.Gaertn.,3.274264,10.196969
Vitellaria paradoxa C.F.Gaertn.,3.269871,10.195336
Vitellaria paradoxa C.F.Gaertn.,3.269524,10.194802
Vitellaria paradoxa C.F.Gaertn.,3.272087,10.192123
Vitellaria paradoxa C.F.Gaertn.,3.266856,10.192815
Vitellaria paradoxa C.F.Gaertn.,3.312623,10.191797
Vitellaria paradoxa C.F.Gaertn.,3.312256,10.189944
Vitellaria paradoxa C.F.Gaertn.,3.325466,10.180606
Vitellaria paradoxa C.F.Gaertn.,3.313003,10.188044
Vitellaria paradoxa C.F.Gaertn.,3.311536,10.191482
Vitellaria paradoxa C.F.Gaertn.,3.31189,10.189103
Vitellaria paradoxa C.F.Gaertn.,3.324533,10.178219
Vitellaria paradoxa C.F.Gaertn.,3.316912,10.18955
Vitellaria paradoxa C.F.Gaertn.,3.314589,10.185401
Vitellaria paradoxa C.F.Gaertn.,3.314107,10.187446
Vitellaria paradoxa C.F.Gaertn.,3.305642,10.194816
Vitellaria paradoxa C.F.Gaertn.,3.314114,10.185293
Vitellaria paradoxa C.F.Gaertn.,3.306898,10.181492
Vitellaria paradoxa C.F.Gaertn.,3.312559,10.173447
Vitellaria paradoxa C.F.Gaertn.,3.308973,10.193474
Vitellaria paradoxa C.F.Gaertn.,3.356619,10.306289
Vitellaria paradoxa C.F.Gaertn.,3.308943,10.19096
Vitellaria paradoxa C.F.Gaertn.,3.308462,10.307487
Vitellaria paradoxa C.F.Gaertn.,3.342382,10.307191
Vitellaria paradoxa C.F.Gaertn.,3.343495,10.306367
Vitellaria paradoxa C.F.Gaertn.,3.34291,10.305336
Vitellaria paradoxa C.F.Gaertn.,3.343292,10.303961
Vitellaria paradoxa C.F.Gaertn.,3.344277,10.303209
Vitellaria paradoxa C.F.Gaertn.,3.344827,10.305135
Vitellaria paradoxa C.F.Gaertn.,3.342066,10.31042
Vitellaria paradoxa C.F.Gaertn.,3.340309,10.307121
Vitellaria paradoxa C.F.Gaertn.,3.332518,10.307162
Vitellaria paradoxa C.F.Gaertn.,3.345347,10.303896
Vitellaria paradoxa C.F.Gaertn.,3.347106,10.300927
Vitellaria paradoxa C.F.Gaertn.,3.340718,10.313921
Vitellaria paradoxa C.F.Gaertn.,3.333494,10.305807
Vitellaria paradoxa C.F.Gaertn.,3.340799,10.304552
Vitellaria paradoxa C.F.Gaertn.,3.338513,10.301832
Vitellaria paradoxa C.F.Gaertn.,3.342166,10.301764
Vitellaria paradoxa C.F.Gaertn.,3.342342,10.304224
Vitellaria paradoxa C.F.Gaertn.,3.350968,10.3
Vitellaria paradoxa C.F.Gaertn.,3.328943,10.312179
